"subject","Mean.PApleas","Mean.PAunpleas","SD_eval","Diff_eval","d_eval","rel_evalD1","rel_evalD2","Mean.PA.self","Mean.PA.other","SD_id","Diff_id","d_id","rel_idD1","rel_idD2"
5246803,1200.53166666667,1328.02833333333,350.956553991966,127.496666666667,0.363283332983675,0.399341883286472,0.327288504113731,1162.11666666667,1101.45666666667,312.476700827796,-60.6600000000001,-0.194126473555638,0.119544595956092,-0.510754981854311
15307185,1324.64333333333,1965.06666666667,681.336670422329,640.423333333333,0.939951364919732,0.729167477916658,1.16186222503682,1134.08,1412.43333333333,492.807326069176,278.353333333333,0.564831971053654,0.400386495953936,0.71974557189209
19665804,996.963333333333,1334.31666666667,328.125797868578,337.353333333333,1.02812194446366,1.19136960788292,0.805227150549001,974.96,913.19,193.559748337485,-61.77,-0.319126267369906,-0.187306305173618,-0.508230805541128
19871721,1363.66,2442.81666666667,1125.69922466019,1079.15666666667,0.958654534911333,1.11831243216995,0.854995060083361,1210.915,1380.925,526.641318405707,170.01,0.322819334636843,0.457183238316073,0.218150340417671
27361766,917.273333333333,1290.51666666667,288.596338094136,373.243333333334,1.29330585342212,1.50245373153431,1.08012728589774,928.095,924.638333333333,141.018751559204,-3.45666666666671,-0.0245121065705612,0.204686736349259,-0.269374473638169
28714192,727.906666666667,1214.9,311.971274785543,486.993333333333,1.56101978833822,1.60085975416117,1.54551328837624,710.571666666667,794.688333333333,167.378109971044,84.1166666666666,0.502554764665573,0.507290654032858,0.446929910524689
37959354,883.676666666667,1059.26333333333,351.386926623175,175.586666666667,0.499696071091924,0.375290942068965,0.704034637922904,818.865,1028.99166666667,297.075131595233,210.126666666667,0.707318265040663,0.666617401444319,0.746074084079537
49805414,930.321666666667,1460.875,514.95575366481,530.553333333333,1.03028916476322,1.27855464822033,0.869096500981752,954.901666666667,1257.055,509.572023621493,302.153333333333,0.592955106102471,0.638640573446773,0.527713569294351
52217399,1738.82666666667,1522.95,783.856020819736,-215.876666666667,-0.275403468153384,-0.219831876139158,-0.33928931417265,1595.42,1159.14,647.857987550986,-436.28,-0.673419188129813,-0.840442752889737,-0.457765358403515
53869593,1864.48666666667,2492.33333333333,808.852685468693,627.846666666667,0.776218807140213,0.789408007476537,0.761987756025543,1819.84166666667,2115.295,710.610377706914,295.453333333333,0.415774019916144,0.302840104284103,0.511185795243288
57465737,915.68,896.916666666667,287.460907677161,-18.7633333333333,-0.0652726434524652,-0.0644679867646335,-0.076596105926994,936.45,806.03,286.138404660837,-130.42,-0.455793412822681,-0.163251189436281,-0.755251856130169
58379567,1115.87333333333,1285.89333333333,326.91366792245,170.02,0.520076144507766,0.371029522830169,0.636972061229455,1017.23333333333,1031.07,322.072292104951,13.8366666666666,0.0429613692510927,-0.175260114515473,0.221168008520516
67092739,1145.01666666667,1362.84,392.388402843757,217.823333333333,0.555121740996171,0.485082936034491,0.650742794150174,1425.57666666667,1362.44333333333,737.211031597631,-63.1333333333332,-0.0856380746182204,-0.290844003708485,0.108658253783731
67155324,1014.86333333333,1800.98333333333,574.877875921565,786.12,1.36745565088898,1.28543404048864,1.51921329000059,900.998333333333,1000.02166666667,258.442115294669,99.0233333333333,0.38315478582285,0.679772883287587,0.17827595161576
67595144,1430.44166666667,2113.89166666667,743.694692409599,683.45,0.918992708937584,0.666341365250468,1.17333940267806,1593.13666666667,1723.94666666667,773.042952874415,130.81,0.169214400718107,0.0837781869766668,0.229608583506721
74252221,923.666666666667,1661.18,565.593923091059,737.513333333334,1.30396261915741,1.25532629377892,1.37066578553877,937.456666666667,904.133333333333,261.41828096338,-33.3233333333334,-0.127471319949508,-0.301586802850632,0.0129094399312663
76202632,1051.26666666667,1684.75666666667,522.831137992318,633.49,1.21165315905364,1.09997118778972,1.30659017338387,1837.10333333333,1574.23,808.204844586028,-262.873333333333,-0.325255824800184,-0.169308686826501,-0.388263974187587
81590700,2240.44333333333,3456.1,1911.82247783457,1215.65666666667,0.635862733470727,0.513794685649186,0.759747244428215,1437.14333333333,1609.76333333333,552.568865160804,172.62,0.312395451288711,0.307076816305585,0.331384202176418
83104369,1209.105,1494.715,483.610473748582,285.61,0.590578607171528,0.417984647837842,0.760013158489536,1354.3,941.883333333333,497.216926701897,-412.416666666667,-0.829450174599402,-0.76163657905849,-0.904852091192602
97433540,1063.21,1519.09333333333,438.905880299985,455.883333333333,1.03868130684817,1.41972911238054,0.763328846370559,1203.82,1640.11,648.227484793739,436.29,0.673050758004845,0.768630391455396,0.572949076424344
99226028,1769.84666666667,2248.76666666667,507.914626871954,478.92,0.942914369191294,1.08613843753824,0.795896091514544,1767.18333333333,1932.31333333333,285.265404943717,165.13,0.578864443911731,0.3068869341482,0.94896969900193
112642806,969.1,1199.63333333333,294.747404556846,230.533333333333,0.782138637250907,0.721631732919586,0.841263824908167,954.23,995.576666666667,240.326940454297,41.3466666666667,0.172043411315052,0.207110098823835,0.0995498908095694
113988008,1013.16166666667,1292.84166666667,327.737487177467,279.68,0.853365913092985,0.832744472628159,0.859347781871706,1070.32,986.43,191.404876104656,-83.8900000000001,-0.438285594950731,-0.689686141609115,-0.142504619920683
114594156,1354.58666666667,1814.75333333333,608.678942375007,460.166666666667,0.75600884905126,0.713723461935538,0.796284500586202,1731.37333333333,1451.26,626.586533600616,-280.113333333333,-0.447046526397065,-0.591190912694741,-0.338297447373163
